Category: All categories

Week,singularitynet: (Worldwide)
2020-12-27,9
2021-01-03,10
2021-01-10,12
2021-01-17,10
2021-01-24,12
2021-01-31,17
2021-02-07,39
2021-02-14,38
2021-02-21,26
2021-02-28,20
2021-03-07,21
2021-03-14,24
2021-03-21,18
2021-03-28,29
2021-04-04,32
2021-04-11,37
2021-04-18,29
2021-04-25,23
2021-05-02,21
2021-05-09,20
2021-05-16,26
2021-05-23,52
2021-05-30,36
2021-06-06,17
2021-06-13,17
2021-06-20,17
2021-06-27,15
2021-07-04,12
2021-07-11,11
2021-07-18,10
2021-07-25,10
2021-08-01,12
2021-08-08,14
2021-08-15,15
2021-08-22,17
2021-08-29,37
2021-09-05,19
2021-09-12,24
2021-09-19,9
2021-09-26,15
2021-10-03,9
2021-10-10,14
2021-10-17,14
2021-10-24,9
2021-10-31,18
2021-11-07,16
2021-11-14,12
2021-11-21,13
2021-11-28,14
2021-12-05,14
2021-12-12,0
2021-12-19,17
2021-12-26,15
2022-01-02,0
2022-01-09,9
2022-01-16,10
2022-01-23,8
2022-01-30,0
2022-02-06,9
2022-02-13,9
2022-02-20,0
2022-02-27,0
2022-03-06,8
2022-03-13,8
2022-03-20,17
2022-03-27,14
2022-04-03,15
2022-04-10,8
2022-04-17,17
2022-04-24,11
2022-05-01,7
2022-05-08,6
2022-05-15,8
2022-05-22,0
2022-05-29,0
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,8
2022-07-24,0
2022-07-31,0
2022-08-07,12
2022-08-14,9
2022-08-21,9
2022-08-28,0
2022-09-04,0
2022-09-11,0
2022-09-18,0
2022-09-25,0
2022-10-02,0
2022-10-09,18
2022-10-16,13
2022-10-23,0
2022-10-30,8
2022-11-06,0
2022-11-13,0
2022-11-20,8
2022-11-27,0
2022-12-04,9
2022-12-11,0
2022-12-18,10
2022-12-25,8
2023-01-01,8
2023-01-08,51
2023-01-15,52
2023-01-22,43
2023-01-29,42
2023-02-05,100
2023-02-12,41
2023-02-19,33
2023-02-26,40
2023-03-05,31
2023-03-12,35
2023-03-19,28
2023-03-26,19
2023-04-02,17
2023-04-09,10
2023-04-16,20
2023-04-23,23
2023-04-30,18
2023-05-07,19
2023-05-14,11
2023-05-21,19
2023-05-28,22
2023-06-04,17
2023-06-11,14
2023-06-18,18
2023-06-25,13
2023-07-02,14
2023-07-09,18
2023-07-16,18
2023-07-23,16
2023-07-30,10
2023-08-06,9
2023-08-13,11
2023-08-20,10
2023-08-27,10
2023-09-03,10
2023-09-10,9
2023-09-17,10
2023-09-24,7
2023-10-01,9
2023-10-08,10
2023-10-15,0
2023-10-22,14
2023-10-29,13
2023-11-05,12
2023-11-12,15
2023-11-19,13
2023-11-26,22
2023-12-03,23
2023-12-10,16
2023-12-17,16
2023-12-24,17
2023-12-31,17
2024-01-07,18
2024-01-14,19
2024-01-21,20
2024-01-28,13
2024-02-04,14
2024-02-11,24
2024-02-18,62
2024-02-25,65
2024-03-03,72
2024-03-10,51
2024-03-17,38
2024-03-24,77
2024-03-31,36
2024-04-07,22
