Category: All categories

Week,binance: (Worldwide)
2020-12-27,13
2021-01-03,22
2021-01-10,19
2021-01-17,16
2021-01-24,24
2021-01-31,31
2021-02-07,46
2021-02-14,45
2021-02-21,40
2021-02-28,29
2021-03-07,36
2021-03-14,43
2021-03-21,37
2021-03-28,45
2021-04-04,60
2021-04-11,80
2021-04-18,76
2021-04-25,56
2021-05-02,79
2021-05-09,100
2021-05-16,69
2021-05-23,46
2021-05-30,41
2021-06-06,34
2021-06-13,27
2021-06-20,28
2021-06-27,29
2021-07-04,26
2021-07-11,25
2021-07-18,23
2021-07-25,29
2021-08-01,27
2021-08-08,37
2021-08-15,38
2021-08-22,40
2021-08-29,38
2021-09-05,42
2021-09-12,37
2021-09-19,33
2021-09-26,28
2021-10-03,40
2021-10-10,43
2021-10-17,43
2021-10-24,60
2021-10-31,64
2021-11-07,56
2021-11-14,53
2021-11-21,53
2021-11-28,56
2021-12-05,43
2021-12-12,38
2021-12-19,41
2021-12-26,39
2022-01-02,52
2022-01-09,50
2022-01-16,44
2022-01-23,44
2022-01-30,38
2022-02-06,45
2022-02-13,38
2022-02-20,35
2022-02-27,36
2022-03-06,33
2022-03-13,35
2022-03-20,36
2022-03-27,40
2022-04-03,37
2022-04-10,34
2022-04-17,34
2022-04-24,32
2022-05-01,31
2022-05-08,53
2022-05-15,37
2022-05-22,34
2022-05-29,31
2022-06-05,25
2022-06-12,29
2022-06-19,27
2022-06-26,23
2022-07-03,23
2022-07-10,21
2022-07-17,23
2022-07-24,24
2022-07-31,23
2022-08-07,24
2022-08-14,22
2022-08-21,22
2022-08-28,22
2022-09-04,24
2022-09-11,24
2022-09-18,22
2022-09-25,21
2022-10-02,22
2022-10-09,19
2022-10-16,19
2022-10-23,20
2022-10-30,22
2022-11-06,33
2022-11-13,25
2022-11-20,22
2022-11-27,20
2022-12-04,18
2022-12-11,24
2022-12-18,18
2022-12-25,17
2023-01-01,17
2023-01-08,20
2023-01-15,20
2023-01-22,19
2023-01-29,19
2023-02-05,21
2023-02-12,20
2023-02-19,19
2023-02-26,18
2023-03-05,17
2023-03-12,21
2023-03-19,21
2023-03-26,22
2023-04-02,20
2023-04-09,22
2023-04-16,19
2023-04-23,19
2023-04-30,19
2023-05-07,18
2023-05-14,17
2023-05-21,17
2023-05-28,19
2023-06-04,24
2023-06-11,19
2023-06-18,18
2023-06-25,17
2023-07-02,18
2023-07-09,21
2023-07-16,19
2023-07-23,18
2023-07-30,17
2023-08-06,17
2023-08-13,20
2023-08-20,16
2023-08-27,16
2023-09-03,15
2023-09-10,16
2023-09-17,16
2023-09-24,16
2023-10-01,16
2023-10-08,16
2023-10-15,16
2023-10-22,18
2023-10-29,18
2023-11-05,19
2023-11-12,19
2023-11-19,28
2023-11-26,20
2023-12-03,24
2023-12-10,20
2023-12-17,21
2023-12-24,24
2023-12-31,22
2024-01-07,23
2024-01-14,21
2024-01-21,19
2024-01-28,19
2024-02-04,20
2024-02-11,23
2024-02-18,26
2024-02-25,34
2024-03-03,43
2024-03-10,41
2024-03-17,30
2024-03-24,30
2024-03-31,26
2024-04-07,26
2024-04-14,24
2024-04-21,21
2024-04-28,19
